Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
InternetGatewayDevice.DownloadDiagnostics.TestBytesReceived,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"0",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.DownloadDiagnostics.TotalBytesReceived,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"0",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.IPPingDiagnostics,true,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",,,,,,
InternetGatewayDevice.IPPingDiagnostics.AverageResponseTime,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"0",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.IPPingDiagnostics.DSCP,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"0",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.IPPingDiagnostics.DataBlockSize,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"56",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.IPPingDiagnostics.DiagnosticsState,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"None",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.IPPingDiagnostics.FailureCount,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"0",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.IPPingDiagnostics.Host,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.IPPingDiagnostics.Interface,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",xsd:string,2024-03-17T06:42:51.610Z,,,,
